------------------------ 5x5 --------------------------------

ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  144.793  144.793 mpc.py:1413(eigen_decomp)
       53    0.002    0.000  139.415    2.630 mpc.py:1129(householder)
      106    0.015    0.000  136.324    1.286 mpc.py:1045(fp_sqrt)
       20    0.002    0.000  134.831    6.742 mpc.py:1285(qr_fact_square)
   330621   49.434    0.000  133.950    0.000 custom_types.py:17(mul_mod)
      106    0.024    0.000  122.054    1.151 mpc.py:894(normalizer_even_exp)
     1590    0.003    0.000  117.304    0.074 mpc.py:409(evaluate_poly)
     1590    0.651    0.000  115.797    0.073 mpc.py:324(powers)
      159    0.000    0.000  108.623    0.683 mpc.py:525(table_lookup)
 18264448    7.131    0.000   39.124    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
 17998156   38.624    0.000   38.624    0.000 custom_types.py:14(add_mod)
  9126615    3.228    0.000   35.998    0.000 <__array_function__ internals>:2(any)
  9126615    4.297    0.000   29.319    0.000 fromnumeric.py:2249(any)
  9137632    7.268    0.000   25.135    0.000 fromnumeric.py:70(_wrapreduction)
     4740    0.021    0.000   16.012    0.003 mpc.py:426(beaver_mult)
  9137632   14.934    0.000   14.934    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      477    0.119    0.000   14.559    0.031 mpc.py:668(prefix_or)
     1938    0.017    0.000   11.837    0.006 mpc.py:639(mult_aux_parallel)
     4074    0.243    0.000   10.536    0.003 custom_types.py:32(matmul_mod)
     1938    0.003    0.000   10.003    0.005 mpc.py:659(<listcomp>)
     1431    0.043    0.000    8.726    0.006 mpc.py:594(fan_in_or)
      265    0.018    0.000    8.535    0.032 mpc.py:992(less_than_bits_aux)
        1    0.000    0.000    8.441    8.441 mpc.py:1344(tridiag)
  8795994    2.876    0.000    7.936    0.000 <__array_function__ internals>:2(where)
     3309    0.033    0.000    7.777    0.002 mpc.py:537(trunc)
     1818    0.004    0.000    7.197    0.004 mpc.py:469(multiply)
     1090    0.002    0.000    7.141    0.007 mpc.py:664(mult_mat_parallel)
    14485    0.038    0.000    6.209    0.000 mpc.py:246(reveal_sym)
    25896    0.013    0.000    5.814    0.000 mpc.py:230(receive_ndarray)
    27804    0.051    0.000    5.582    0.000 c_socket.py:54(receive)
    27804    5.506    0.000    5.506    0.000 {method 'recv' of '_socket.socket' objects}
      159    0.000    0.000    4.938    0.031 mpc.py:853(less_than_bits_public)
    22557    0.170    0.000    4.467    0.000 mpc.py:220(receive_matrix)
    11017    0.101    0.000    4.316    0.000 mpc.py:272(beaver_partition)
      106    0.000    0.000    3.598    0.034 mpc.py:989(less_than_bits)
   330621    0.132    0.000    2.974    0.000 <__array_function__ internals>:2(broadcast_to)
   330621    0.131    0.000    2.548    0.000 stride_tricks.py:141(broadcast_to)
   330621    1.684    0.000    2.417    0.000 stride_tricks.py:114(_broadcast_to)
       53    0.001    0.000    2.348    0.044 mpc.py:1183(is_positive)
  9137632    2.107    0.000    2.107    0.000 fromnumeric.py:71(<dictcomp>)
     3876    0.006    0.000    1.749    0.000 mpc.py:628(beaver_partition_bulk)
     3876    0.004    0.000    1.741    0.000 mpc.py:630(<listcomp>)
     5141    0.023    0.000    1.364    0.000 mpc.py:212(receive_vector)
    22034    1.041    0.000    1.041    0.000 {method 'set_state' of 'numpy.random.mtrand.RandomState' objects}
  9126615    0.843    0.000    0.843    0.000 fromnumeric.py:2245(_any_dispatcher)
    11017    0.021    0.000    0.837    0.000 mpc.py:264(switch_seed)
  9137632    0.818    0.000    0.818    0.000 {method 'items' of 'dict' objects}
    11017    0.016    0.000    0.810    0.000 mpc.py:268(restore_seed)
